support,itemsets
0.23595505617977527,COMP:compute_claims
0.8539325842696629,COMP:compute_manager
0.24719101123595505,COMP:compute_server_external_events
0.6853932584269663,COMP:libvirt_driver
0.7640449438202247,COMP:libvirt_imagecache
0.23595505617977527,COMP:openstack_wsgi
1.0,COMP:wsgi_server
0.23595505617977527,EVT:E1
0.23595505617977527,EVT:E10
0.24719101123595505,EVT:E11
0.24719101123595505,EVT:E12
0.23595505617977527,EVT:E13
0.23595505617977527,EVT:E14
0.24719101123595505,EVT:E15
0.23595505617977527,EVT:E16
0.23595505617977527,EVT:E17
0.23595505617977527,EVT:E18
0.23595505617977527,EVT:E19
0.23595505617977527,EVT:E2
0.24719101123595505,EVT:E20
0.25842696629213485,EVT:E21
0.24719101123595505,EVT:E22
0.23595505617977527,EVT:E23
0.24719101123595505,EVT:E24
1.0,EVT:E25
0.7191011235955056,EVT:E26
0.5730337078651685,EVT:E27
0.23595505617977527,EVT:E3
0.24719101123595505,EVT:E31
0.23595505617977527,EVT:E33
0.5730337078651685,EVT:E34
0.5730337078651685,EVT:E35
0.29213483146067415,EVT:E36
0.23595505617977527,EVT:E37
0.23595505617977527,EVT:E4
0.29213483146067415,EVT:E42
0.23595505617977527,EVT:E5
0.23595505617977527,EVT:E6
0.39325842696629215,EVT:E7
0.24719101123595505,EVT:E8
0.24719101123595505,EVT:E9
0.30337078651685395,FLAG:FAILURE
1.0,HOUR:00
0.24719101123595505,KW:build
0.24719101123595505,KW:delete
0.23595505617977527,KW:exception
0.24719101123595505,KW:spawn
1.0,LEVEL:INFO
0.30337078651685395,LEVEL:WARNING
0.20224719101123595,COMP:compute_claims|COMP:compute_manager
0.23595505617977527,COMP:compute_claims|COMP:libvirt_driver
0.23595505617977527,COMP:compute_claims|COMP:wsgi_server
0.23595505617977527,COMP:compute_claims|EVT:E1
0.23595505617977527,COMP:compute_claims|EVT:E10
0.23595505617977527,COMP:compute_claims|EVT:E16
0.23595505617977527,COMP:compute_claims|EVT:E17
0.23595505617977527,COMP:compute_claims|EVT:E18
0.23595505617977527,COMP:compute_claims|EVT:E19
0.23595505617977527,COMP:compute_claims|EVT:E2
0.20224719101123595,COMP:compute_claims|EVT:E23
0.23595505617977527,COMP:compute_claims|EVT:E25
0.23595505617977527,COMP:compute_claims|EVT:E26
0.23595505617977527,COMP:compute_claims|EVT:E3
0.23595505617977527,COMP:compute_claims|EVT:E6
0.23595505617977527,COMP:compute_claims|HOUR:00
0.23595505617977527,COMP:compute_claims|LEVEL:INFO
0.24719101123595505,COMP:compute_manager|COMP:compute_server_external_events
0.651685393258427,COMP:compute_manager|COMP:libvirt_driver
0.6741573033707865,COMP:compute_manager|COMP:libvirt_imagecache
0.8539325842696629,COMP:compute_manager|COMP:wsgi_server
0.20224719101123595,COMP:compute_manager|EVT:E1
0.20224719101123595,COMP:compute_manager|EVT:E10
0.24719101123595505,COMP:compute_manager|EVT:E11
0.24719101123595505,COMP:compute_manager|EVT:E12
0.23595505617977527,COMP:compute_manager|EVT:E13
0.23595505617977527,COMP:compute_manager|EVT:E14
0.24719101123595505,COMP:compute_manager|EVT:E15
0.20224719101123595,COMP:compute_manager|EVT:E16
0.20224719101123595,COMP:compute_manager|EVT:E17
0.20224719101123595,COMP:compute_manager|EVT:E18
0.20224719101123595,COMP:compute_manager|EVT:E19
0.20224719101123595,COMP:compute_manager|EVT:E2
0.24719101123595505,COMP:compute_manager|EVT:E20
0.25842696629213485,COMP:compute_manager|EVT:E21
0.24719101123595505,COMP:compute_manager|EVT:E22
0.23595505617977527,COMP:compute_manager|EVT:E23
0.24719101123595505,COMP:compute_manager|EVT:E24
0.8539325842696629,COMP:compute_manager|EVT:E25
0.6292134831460674,COMP:compute_manager|EVT:E26
0.5730337078651685,COMP:compute_manager|EVT:E27
0.20224719101123595,COMP:compute_manager|EVT:E3
0.24719101123595505,COMP:compute_manager|EVT:E31
0.5730337078651685,COMP:compute_manager|EVT:E34
0.5730337078651685,COMP:compute_manager|EVT:E35
0.20224719101123595,COMP:compute_manager|EVT:E36
0.23595505617977527,COMP:compute_manager|EVT:E4
0.20224719101123595,COMP:compute_manager|EVT:E42
0.23595505617977527,COMP:compute_manager|EVT:E5
0.20224719101123595,COMP:compute_manager|EVT:E6
0.39325842696629215,COMP:compute_manager|EVT:E7
0.24719101123595505,COMP:compute_manager|EVT:E8
0.24719101123595505,COMP:compute_manager|EVT:E9
0.21348314606741572,COMP:compute_manager|FLAG:FAILURE
0.8539325842696629,COMP:compute_manager|HOUR:00
0.24719101123595505,COMP:compute_manager|KW:build
0.24719101123595505,COMP:compute_manager|KW:delete
0.24719101123595505,COMP:compute_manager|KW:spawn
0.8539325842696629,COMP:compute_manager|LEVEL:INFO
0.21348314606741572,COMP:compute_manager|LEVEL:WARNING
0.23595505617977527,COMP:compute_server_external_events|COMP:libvirt_driver
0.24719101123595505,COMP:compute_server_external_events|COMP:libvirt_imagecache
0.24719101123595505,COMP:compute_server_external_events|COMP:wsgi_server
0.23595505617977527,COMP:compute_server_external_events|EVT:E12
0.23595505617977527,COMP:compute_server_external_events|EVT:E15
0.24719101123595505,COMP:compute_server_external_events|EVT:E21
0.24719101123595505,COMP:compute_server_external_events|EVT:E25
0.24719101123595505,COMP:compute_server_external_events|EVT:E26
0.24719101123595505,COMP:compute_server_external_events|EVT:E27
0.24719101123595505,COMP:compute_server_external_events|EVT:E31
