support,itemsets
1.0,LEVEL:WARNING
1.0,LEVEL:INFO
1.0,KW:spawn
1.0,KW:exception
1.0,KW:delete
1.0,KW:build
1.0,HOUR:00
1.0,FLAG:FAILURE
1.0,EVT:E9
1.0,EVT:E8
1.0,EVT:E7
1.0,EVT:E6
1.0,EVT:E5
1.0,EVT:E42
1.0,EVT:E41
1.0,EVT:E4
1.0,EVT:E37
1.0,EVT:E36
1.0,EVT:E35
1.0,EVT:E34
1.0,EVT:E33
1.0,EVT:E32
1.0,EVT:E31
1.0,EVT:E30
1.0,EVT:E3
1.0,EVT:E28
1.0,EVT:E27
1.0,EVT:E25
1.0,EVT:E26
1.0,EVT:E24
1.0,EVT:E23
1.0,EVT:E2
1.0,EVT:E22
1.0,EVT:E21
1.0,EVT:E20
1.0,EVT:E18
1.0,EVT:E19
1.0,EVT:E17
1.0,EVT:E16
1.0,COMP:wsgi_server
1.0,EVT:E15
1.0,EVT:E14
1.0,EVT:E13
1.0,EVT:E12
1.0,EVT:E11
1.0,EVT:E10
1.0,EVT:E1
1.0,COMP:compute_server_external_events
1.0,COMP:openstack_wsgi
1.0,COMP:libvirt_imagecache
1.0,COMP:libvirt_driver
1.0,COMP:compute_manager
1.0,COMP:compute_resource_tracker
1.0,COMP:compute_claims
0.6,EVT:E29
1.0,LEVEL:INFO|LEVEL:WARNING
1.0,KW:spawn|LEVEL:WARNING
1.0,KW:exception|LEVEL:WARNING
1.0,KW:delete|LEVEL:WARNING
1.0,KW:build|LEVEL:WARNING
1.0,HOUR:00|LEVEL:WARNING
1.0,FLAG:FAILURE|LEVEL:WARNING
1.0,EVT:E9|LEVEL:WARNING
1.0,EVT:E8|LEVEL:WARNING
1.0,EVT:E7|LEVEL:WARNING
1.0,EVT:E6|LEVEL:WARNING
1.0,EVT:E5|LEVEL:WARNING
1.0,EVT:E42|LEVEL:WARNING
1.0,EVT:E41|LEVEL:WARNING
1.0,EVT:E4|LEVEL:WARNING
1.0,EVT:E37|LEVEL:WARNING
1.0,EVT:E36|LEVEL:WARNING
1.0,EVT:E35|LEVEL:WARNING
1.0,EVT:E34|LEVEL:WARNING
1.0,EVT:E33|LEVEL:WARNING
1.0,EVT:E32|LEVEL:WARNING
1.0,EVT:E31|LEVEL:WARNING
1.0,EVT:E30|LEVEL:WARNING
1.0,EVT:E3|LEVEL:WARNING
1.0,EVT:E28|LEVEL:WARNING
1.0,EVT:E27|LEVEL:WARNING
1.0,EVT:E25|LEVEL:WARNING
1.0,EVT:E26|LEVEL:WARNING
1.0,EVT:E24|LEVEL:WARNING
1.0,EVT:E23|LEVEL:WARNING
1.0,EVT:E2|LEVEL:WARNING
1.0,EVT:E22|LEVEL:WARNING
1.0,EVT:E21|LEVEL:WARNING
1.0,EVT:E20|LEVEL:WARNING
1.0,EVT:E18|LEVEL:WARNING
1.0,EVT:E19|LEVEL:WARNING
1.0,EVT:E17|LEVEL:WARNING
1.0,EVT:E16|LEVEL:WARNING
1.0,COMP:wsgi_server|LEVEL:WARNING
1.0,EVT:E15|LEVEL:WARNING
1.0,EVT:E14|LEVEL:WARNING
1.0,EVT:E13|LEVEL:WARNING
1.0,EVT:E12|LEVEL:WARNING
1.0,EVT:E11|LEVEL:WARNING
1.0,EVT:E10|LEVEL:WARNING
1.0,EVT:E1|LEVEL:WARNING
1.0,COMP:compute_server_external_events|LEVEL:WARNING
1.0,COMP:openstack_wsgi|LEVEL:WARNING
1.0,COMP:libvirt_imagecache|LEVEL:WARNING
1.0,COMP:libvirt_driver|LEVEL:WARNING
1.0,COMP:compute_manager|LEVEL:WARNING
1.0,COMP:compute_resource_tracker|LEVEL:WARNING
1.0,COMP:compute_claims|LEVEL:WARNING
0.6,EVT:E29|LEVEL:WARNING
1.0,KW:spawn|LEVEL:INFO
1.0,KW:exception|LEVEL:INFO
1.0,KW:delete|LEVEL:INFO
1.0,KW:build|LEVEL:INFO
1.0,HOUR:00|LEVEL:INFO
1.0,FLAG:FAILURE|LEVEL:INFO
1.0,EVT:E9|LEVEL:INFO
1.0,EVT:E8|LEVEL:INFO
1.0,EVT:E7|LEVEL:INFO
1.0,EVT:E6|LEVEL:INFO
1.0,EVT:E5|LEVEL:INFO
1.0,EVT:E42|LEVEL:INFO
1.0,EVT:E41|LEVEL:INFO
1.0,EVT:E4|LEVEL:INFO
1.0,EVT:E37|LEVEL:INFO
1.0,EVT:E36|LEVEL:INFO
1.0,EVT:E35|LEVEL:INFO
1.0,EVT:E34|LEVEL:INFO
1.0,EVT:E33|LEVEL:INFO
1.0,EVT:E32|LEVEL:INFO
1.0,EVT:E31|LEVEL:INFO
1.0,EVT:E30|LEVEL:INFO
1.0,EVT:E3|LEVEL:INFO
1.0,EVT:E28|LEVEL:INFO
1.0,EVT:E27|LEVEL:INFO
1.0,EVT:E25|LEVEL:INFO
1.0,EVT:E26|LEVEL:INFO
1.0,EVT:E24|LEVEL:INFO
1.0,EVT:E23|LEVEL:INFO
1.0,EVT:E2|LEVEL:INFO
1.0,EVT:E22|LEVEL:INFO
1.0,EVT:E21|LEVEL:INFO
1.0,EVT:E20|LEVEL:INFO
1.0,EVT:E18|LEVEL:INFO
1.0,EVT:E19|LEVEL:INFO
1.0,EVT:E17|LEVEL:INFO
1.0,EVT:E16|LEVEL:INFO
1.0,COMP:wsgi_server|LEVEL:INFO
1.0,EVT:E15|LEVEL:INFO
1.0,EVT:E14|LEVEL:INFO
1.0,EVT:E13|LEVEL:INFO
1.0,EVT:E12|LEVEL:INFO
1.0,EVT:E11|LEVEL:INFO
1.0,EVT:E10|LEVEL:INFO
1.0,EVT:E1|LEVEL:INFO
1.0,COMP:compute_server_external_events|LEVEL:INFO
1.0,COMP:openstack_wsgi|LEVEL:INFO
1.0,COMP:libvirt_imagecache|LEVEL:INFO
1.0,COMP:libvirt_driver|LEVEL:INFO
1.0,COMP:compute_manager|LEVEL:INFO
1.0,COMP:compute_resource_tracker|LEVEL:INFO
1.0,COMP:compute_claims|LEVEL:INFO
0.6,EVT:E29|LEVEL:INFO
1.0,KW:exception|KW:spawn
1.0,KW:delete|KW:spawn
1.0,KW:build|KW:spawn
1.0,HOUR:00|KW:spawn
1.0,FLAG:FAILURE|KW:spawn
1.0,EVT:E9|KW:spawn
1.0,EVT:E8|KW:spawn
1.0,EVT:E7|KW:spawn
1.0,EVT:E6|KW:spawn
1.0,EVT:E5|KW:spawn
1.0,EVT:E42|KW:spawn
1.0,EVT:E41|KW:spawn
1.0,EVT:E4|KW:spawn
1.0,EVT:E37|KW:spawn
1.0,EVT:E36|KW:spawn
1.0,EVT:E35|KW:spawn
1.0,EVT:E34|KW:spawn
1.0,EVT:E33|KW:spawn
1.0,EVT:E32|KW:spawn
1.0,EVT:E31|KW:spawn
1.0,EVT:E30|KW:spawn
1.0,EVT:E3|KW:spawn
1.0,EVT:E28|KW:spawn
1.0,EVT:E27|KW:spawn
1.0,EVT:E25|KW:spawn
1.0,EVT:E26|KW:spawn
1.0,EVT:E24|KW:spawn
1.0,EVT:E23|KW:spawn
1.0,EVT:E2|KW:spawn
1.0,EVT:E22|KW:spawn
1.0,EVT:E21|KW:spawn
1.0,EVT:E20|KW:spawn
1.0,EVT:E18|KW:spawn
