antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
COMP:compute_claims,EVT:E1,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
EVT:E1,COMP:compute_claims,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
COMP:compute_claims,EVT:E10,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
EVT:E10,COMP:compute_claims,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
COMP:compute_claims,EVT:E16,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
EVT:E16,COMP:compute_claims,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
COMP:compute_claims,EVT:E17,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
EVT:E17,COMP:compute_claims,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
EVT:E18,COMP:compute_claims,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
COMP:compute_claims,EVT:E18,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
COMP:compute_claims,EVT:E19,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
EVT:E19,COMP:compute_claims,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
COMP:compute_claims,EVT:E2,0.23595505617977527,0.23595505617977527,0.23595505617977527,1.0,4.238095238095238,1.0,0.18028026764297436,inf,1.0,1.0,1.0,1.0
