support,itemsets
0.35,COMP:compute_claims
1.0,COMP:compute_manager
0.25,COMP:compute_resource_tracker
0.36666666666666664,COMP:compute_server_external_events
0.8666666666666667,COMP:libvirt_driver
0.8833333333333333,COMP:libvirt_imagecache
0.35,COMP:openstack_wsgi
1.0,COMP:wsgi_server
0.35,EVT:E1
0.35,EVT:E10
0.36666666666666664,EVT:E11
0.36666666666666664,EVT:E12
0.35,EVT:E13
0.35,EVT:E14
0.36666666666666664,EVT:E15
0.35,EVT:E16
0.35,EVT:E17
0.35,EVT:E18
0.35,EVT:E19
0.35,EVT:E2
0.36666666666666664,EVT:E20
0.38333333333333336,EVT:E21
0.36666666666666664,EVT:E22
0.35,EVT:E23
0.36666666666666664,EVT:E24
1.0,EVT:E25
0.85,EVT:E26
0.7166666666666667,EVT:E27
0.25,EVT:E28
0.35,EVT:E3
0.25,EVT:E30
0.36666666666666664,EVT:E31
0.25,EVT:E32
0.35,EVT:E33
0.7166666666666667,EVT:E34
0.7166666666666667,EVT:E35
0.4166666666666667,EVT:E36
0.35,EVT:E37
0.35,EVT:E4
0.25,EVT:E41
0.4166666666666667,EVT:E42
0.35,EVT:E5
0.35,EVT:E6
0.5166666666666667,EVT:E7
0.36666666666666664,EVT:E8
0.36666666666666664,EVT:E9
0.43333333333333335,FLAG:FAILURE
1.0,HOUR:00
0.36666666666666664,KW:build
0.36666666666666664,KW:delete
0.35,KW:exception
0.36666666666666664,KW:spawn
1.0,LEVEL:INFO
0.43333333333333335,LEVEL:WARNING
0.35,COMP:compute_claims|COMP:compute_manager
0.35,COMP:compute_claims|COMP:libvirt_driver
0.23333333333333334,COMP:compute_claims|COMP:libvirt_imagecache
0.35,COMP:compute_claims|COMP:wsgi_server
0.35,COMP:compute_claims|EVT:E1
0.35,COMP:compute_claims|EVT:E10
0.35,COMP:compute_claims|EVT:E16
0.35,COMP:compute_claims|EVT:E17
0.35,COMP:compute_claims|EVT:E18
0.35,COMP:compute_claims|EVT:E19
0.35,COMP:compute_claims|EVT:E2
0.31666666666666665,COMP:compute_claims|EVT:E23
0.35,COMP:compute_claims|EVT:E25
0.3333333333333333,COMP:compute_claims|EVT:E26
0.35,COMP:compute_claims|EVT:E3
0.21666666666666667,COMP:compute_claims|EVT:E36
0.21666666666666667,COMP:compute_claims|EVT:E37
0.21666666666666667,COMP:compute_claims|EVT:E42
0.35,COMP:compute_claims|EVT:E6
0.21666666666666667,COMP:compute_claims|FLAG:FAILURE
0.35,COMP:compute_claims|HOUR:00
0.35,COMP:compute_claims|LEVEL:INFO
0.21666666666666667,COMP:compute_claims|LEVEL:WARNING
0.25,COMP:compute_manager|COMP:compute_resource_tracker
0.36666666666666664,COMP:compute_manager|COMP:compute_server_external_events
0.8666666666666667,COMP:compute_manager|COMP:libvirt_driver
0.8833333333333333,COMP:compute_manager|COMP:libvirt_imagecache
0.35,COMP:compute_manager|COMP:openstack_wsgi
1.0,COMP:compute_manager|COMP:wsgi_server
0.35,COMP:compute_manager|EVT:E1
0.35,COMP:compute_manager|EVT:E10
0.36666666666666664,COMP:compute_manager|EVT:E11
0.36666666666666664,COMP:compute_manager|EVT:E12
0.35,COMP:compute_manager|EVT:E13
0.35,COMP:compute_manager|EVT:E14
0.36666666666666664,COMP:compute_manager|EVT:E15
0.35,COMP:compute_manager|EVT:E16
0.35,COMP:compute_manager|EVT:E17
0.35,COMP:compute_manager|EVT:E18
0.35,COMP:compute_manager|EVT:E19
0.35,COMP:compute_manager|EVT:E2
0.36666666666666664,COMP:compute_manager|EVT:E20
0.38333333333333336,COMP:compute_manager|EVT:E21
0.36666666666666664,COMP:compute_manager|EVT:E22
0.35,COMP:compute_manager|EVT:E23
0.36666666666666664,COMP:compute_manager|EVT:E24
1.0,COMP:compute_manager|EVT:E25
0.85,COMP:compute_manager|EVT:E26
0.7166666666666667,COMP:compute_manager|EVT:E27
0.25,COMP:compute_manager|EVT:E28
0.35,COMP:compute_manager|EVT:E3
0.25,COMP:compute_manager|EVT:E30
0.36666666666666664,COMP:compute_manager|EVT:E31
