support,itemsets
1.0,LEVEL:INFO
1.0,HOUR:00
1.0,EVT:E34
1.0,EVT:E35
1.0,COMP:wsgi_server
1.0,EVT:E25
1.0,EVT:E26
1.0,EVT:E27
1.0,COMP:libvirt_imagecache
1.0,COMP:compute_manager
1.0,COMP:libvirt_driver
0.9,EVT:E7
0.8333333333333334,LEVEL:WARNING
0.8333333333333334,FLAG:FAILURE
0.8,EVT:E36
0.8,EVT:E42
0.7666666666666667,EVT:E21
0.7333333333333333,KW:delete
0.7333333333333333,KW:spawn
0.7333333333333333,KW:build
0.7333333333333333,EVT:E8
0.7333333333333333,EVT:E31
0.7333333333333333,EVT:E9
0.7333333333333333,EVT:E12
0.7333333333333333,EVT:E22
0.7333333333333333,EVT:E11
0.7333333333333333,EVT:E15
0.7333333333333333,COMP:compute_server_external_events
0.7333333333333333,EVT:E24
0.7333333333333333,EVT:E20
0.7,EVT:E37
0.7,KW:exception
0.7,EVT:E33
0.7,EVT:E5
0.7,EVT:E4
0.7,COMP:openstack_wsgi
0.7,EVT:E14
0.7,EVT:E13
0.5,EVT:E30
0.5,EVT:E41
0.5,EVT:E32
0.5,COMP:compute_resource_tracker
0.5,EVT:E28
0.7,EVT:E1
0.7,EVT:E10
0.7,EVT:E16
0.7,EVT:E6
0.7,EVT:E3
0.7,COMP:compute_claims
0.7,EVT:E17
0.7,EVT:E2
0.7,EVT:E23
0.7,EVT:E18
0.7,EVT:E19
0.23333333333333334,COMP:scheduler_host_manager
0.3,EVT:E29
1.0,HOUR:00|LEVEL:INFO
1.0,EVT:E34|HOUR:00
1.0,EVT:E34|LEVEL:INFO
1.0,EVT:E34|EVT:E35
1.0,EVT:E35|HOUR:00
1.0,EVT:E35|LEVEL:INFO
1.0,COMP:wsgi_server|EVT:E35
1.0,COMP:wsgi_server|EVT:E34
1.0,COMP:wsgi_server|HOUR:00
1.0,COMP:wsgi_server|LEVEL:INFO
1.0,COMP:wsgi_server|EVT:E25
1.0,EVT:E25|EVT:E35
1.0,EVT:E25|EVT:E34
1.0,EVT:E25|HOUR:00
1.0,EVT:E25|LEVEL:INFO
1.0,EVT:E25|EVT:E26
1.0,COMP:wsgi_server|EVT:E26
1.0,EVT:E26|EVT:E35
1.0,EVT:E26|EVT:E34
1.0,EVT:E26|HOUR:00
1.0,EVT:E26|LEVEL:INFO
1.0,EVT:E26|EVT:E27
1.0,EVT:E25|EVT:E27
1.0,COMP:wsgi_server|EVT:E27
1.0,EVT:E27|EVT:E35
1.0,EVT:E27|EVT:E34
1.0,EVT:E27|HOUR:00
1.0,EVT:E27|LEVEL:INFO
1.0,COMP:libvirt_imagecache|EVT:E27
1.0,COMP:libvirt_imagecache|EVT:E26
1.0,COMP:libvirt_imagecache|EVT:E25
1.0,COMP:libvirt_imagecache|COMP:wsgi_server
1.0,COMP:libvirt_imagecache|EVT:E35
1.0,COMP:libvirt_imagecache|EVT:E34
1.0,COMP:libvirt_imagecache|HOUR:00
1.0,COMP:libvirt_imagecache|LEVEL:INFO
1.0,COMP:compute_manager|COMP:libvirt_imagecache
1.0,COMP:compute_manager|EVT:E27
1.0,COMP:compute_manager|EVT:E26
1.0,COMP:compute_manager|EVT:E25
1.0,COMP:compute_manager|COMP:wsgi_server
1.0,COMP:compute_manager|EVT:E35
1.0,COMP:compute_manager|EVT:E34
1.0,COMP:compute_manager|HOUR:00
1.0,COMP:compute_manager|LEVEL:INFO
1.0,COMP:compute_manager|COMP:libvirt_driver
1.0,COMP:libvirt_driver|COMP:libvirt_imagecache
1.0,COMP:libvirt_driver|EVT:E27
1.0,COMP:libvirt_driver|EVT:E26
1.0,COMP:libvirt_driver|EVT:E25
1.0,COMP:libvirt_driver|COMP:wsgi_server
1.0,COMP:libvirt_driver|EVT:E35
1.0,COMP:libvirt_driver|EVT:E34
1.0,COMP:libvirt_driver|HOUR:00
1.0,COMP:libvirt_driver|LEVEL:INFO
0.9,COMP:libvirt_driver|EVT:E7
0.9,COMP:compute_manager|EVT:E7
0.9,COMP:libvirt_imagecache|EVT:E7
0.9,EVT:E27|EVT:E7
0.9,EVT:E26|EVT:E7
0.9,EVT:E25|EVT:E7
0.9,COMP:wsgi_server|EVT:E7
0.9,EVT:E35|EVT:E7
0.9,EVT:E34|EVT:E7
0.9,EVT:E7|HOUR:00
0.9,EVT:E7|LEVEL:INFO
0.8333333333333334,COMP:libvirt_driver|LEVEL:WARNING
0.8333333333333334,COMP:compute_manager|LEVEL:WARNING
