antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
COMP:compute_manager,COMP:libvirt_driver,0.5755813953488372,0.38953488372093026,0.36046511627906974,0.6262626262626262,1.607718980853309,1.0,0.13625608436992964,1.6334066624764296,0.8906319045514801,0.596153846153846,0.3877825877825876,0.7758178802954921
COMP:libvirt_driver,COMP:compute_manager,0.38953488372093026,0.5755813953488372,0.36046511627906974,0.9253731343283581,1.607718980853309,1.0,0.13625608436992964,5.687209302325573,0.6192012288786481,0.596153846153846,0.8241668370476383,0.7758178802954921
COMP:libvirt_imagecache,COMP:compute_manager,0.6511627906976745,0.5755813953488372,0.4127906976744186,0.6339285714285714,1.1013708513708513,1.0,0.03799351000540829,1.1593874078275666,0.26384976525821574,0.5071428571428572,0.13747553816046953,0.6755501443001443
COMP:compute_manager,COMP:libvirt_imagecache,0.5755813953488372,0.6511627906976745,0.4127906976744186,0.7171717171717171,1.1013708513708513,1.0,0.03799351000540829,1.2333887043189364,0.2168628207601773,0.5071428571428572,0.189225589225589,0.6755501443001443
COMP:wsgi_server,COMP:compute_manager,0.9302325581395349,0.5755813953488372,0.5755813953488372,0.61875,1.075,1.0,0.04015684153596544,1.1132291269538697,1.000000000000001,0.61875,0.10171232876712329,0.809375
COMP:compute_manager,COMP:wsgi_server,0.5755813953488372,0.9302325581395349,0.5755813953488372,1.0,1.075,1.0,0.04015684153596544,inf,0.16438356164383583,0.61875,1.0,0.809375
EVT:E25,COMP:compute_manager,0.9069767441860465,0.5755813953488372,0.5755813953488372,0.6346153846153847,1.1025641025641026,1.0,0.05354245538128721,1.1615667074663405,1.0,0.6346153846153847,0.1390937829293995,0.8173076923076923
COMP:compute_manager,EVT:E25,0.5755813953488372,0.9069767441860465,0.5755813953488372,1.0,1.1025641025641026,1.0,0.05354245538128721,inf,0.21917808219178095,0.6346153846153847,1.0,0.8173076923076923
EVT:E26,COMP:compute_manager,0.37209302325581395,0.5755813953488372,0.26744186046511625,0.7187499999999999,1.2487373737373735,1.0,0.053272038939967514,1.509043927648578,0.3172302737520127,0.39316239316239304,0.33732876712328735,0.5916982323232323
COMP:compute_manager,EVT:E27,0.5755813953488372,0.47674418604651164,0.38953488372093026,0.6767676767676768,1.4195614683419562,1.0,0.11512979989183342,1.618822674418605,0.6963811081578409,0.587719298245614,0.3822671156004489,0.746920423749692
EVT:E27,COMP:compute_manager,0.47674418604651164,0.5755813953488372,0.38953488372093026,0.8170731707317074,1.4195614683419562,1.0,0.11512979989183342,2.3201550387596908,0.564842454394693,0.587719298245614,0.5689943200801872,0.746920423749692
EVT:E34,COMP:compute_manager,0.47674418604651164,0.5755813953488372,0.38953488372093026,0.8170731707317074,1.4195614683419562,1.0,0.11512979989183342,2.3201550387596908,0.564842454394693,0.587719298245614,0.5689943200801872,0.746920423749692
COMP:compute_manager,EVT:E34,0.5755813953488372,0.47674418604651164,0.38953488372093026,0.6767676767676768,1.4195614683419562,1.0,0.11512979989183342,1.618822674418605,0.6963811081578409,0.587719298245614,0.3822671156004489,0.746920423749692
EVT:E35,COMP:compute_manager,0.47674418604651164,0.5755813953488372,0.38953488372093026,0.8170731707317074,1.4195614683419562,1.0,0.11512979989183342,2.3201550387596908,0.564842454394693,0.587719298245614,0.5689943200801872,0.746920423749692
