antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
COMP:libvirt_driver,COMP:compute_manager,0.38953488372093026,0.5755813953488372,0.36046511627906974,0.9253731343283581,1.607718980853309,1.0,0.13625608436992964,5.687209302325573,0.6192012288786481,0.596153846153846,0.8241668370476383,0.7758178802954921
COMP:compute_manager,COMP:libvirt_driver,0.5755813953488372,0.38953488372093026,0.36046511627906974,0.6262626262626262,1.607718980853309,1.0,0.13625608436992964,1.6334066624764296,0.8906319045514801,0.596153846153846,0.3877825877825876,0.7758178802954921
COMP:compute_manager,COMP:libvirt_imagecache,0.5755813953488372,0.6511627906976745,0.4127906976744186,0.7171717171717171,1.1013708513708513,1.0,0.03799351000540829,1.2333887043189364,0.2168628207601773,0.5071428571428572,0.189225589225589,0.6755501443001442
COMP:libvirt_imagecache,COMP:compute_manager,0.6511627906976745,0.5755813953488372,0.4127906976744186,0.6339285714285713,1.1013708513708511,1.0,0.03799351000540829,1.159387407827566,0.26384976525821574,0.5071428571428572,0.13747553816046928,0.6755501443001442
COMP:wsgi_server,COMP:compute_manager,0.9302325581395349,0.5755813953488372,0.5755813953488372,0.61875,1.075,1.0,0.04015684153596544,1.1132291269538697,1.000000000000001,0.61875,0.10171232876712329,0.809375
COMP:compute_manager,COMP:wsgi_server,0.5755813953488372,0.9302325581395349,0.5755813953488372,1.0,1.075,1.0,0.04015684153596544,inf,0.16438356164383583,0.61875,1.0,0.809375
COMP:compute_manager,EVT:E25,0.5755813953488372,0.9069767441860465,0.5755813953488372,1.0,1.1025641025641026,1.0,0.05354245538128721,inf,0.21917808219178095,0.6346153846153847,1.0,0.8173076923076923
EVT:E25,COMP:compute_manager,0.9069767441860465,0.5755813953488372,0.5755813953488372,0.6346153846153847,1.1025641025641026,1.0,0.05354245538128721,1.1615667074663405,1.0,0.6346153846153847,0.1390937829293995,0.8173076923076923
EVT:E27,COMP:compute_manager,0.47674418604651164,0.5755813953488372,0.38953488372093026,0.8170731707317074,1.4195614683419562,1.0,0.11512979989183342,2.3201550387596908,0.564842454394693,0.587719298245614,0.5689943200801872,0.746920423749692
COMP:compute_manager,EVT:E27,0.5755813953488372,0.47674418604651164,0.38953488372093026,0.6767676767676768,1.4195614683419562,1.0,0.11512979989183342,1.618822674418605,0.6963811081578409,0.587719298245614,0.3822671156004489,0.746920423749692
COMP:compute_manager,EVT:E34,0.5755813953488372,0.47674418604651164,0.38953488372093026,0.6767676767676768,1.4195614683419562,1.0,0.11512979989183342,1.618822674418605,0.6963811081578409,0.587719298245614,0.3822671156004489,0.746920423749692
EVT:E34,COMP:compute_manager,0.47674418604651164,0.5755813953488372,0.38953488372093026,0.8170731707317074,1.4195614683419562,1.0,0.11512979989183342,2.3201550387596908,0.564842454394693,0.587719298245614,0.5689943200801872,0.746920423749692
EVT:E35,COMP:compute_manager,0.47674418604651164,0.5755813953488372,0.38953488372093026,0.8170731707317074,1.4195614683419562,1.0,0.11512979989183342,2.3201550387596908,0.564842454394693,0.587719298245614,0.5689943200801872,0.746920423749692
COMP:compute_manager,EVT:E35,0.5755813953488372,0.47674418604651164,0.38953488372093026,0.6767676767676768,1.4195614683419562,1.0,0.11512979989183342,1.618822674418605,0.6963811081578409,0.587719298245614,0.3822671156004489,0.746920423749692
COMP:libvirt_driver,COMP:wsgi_server,0.38953488372093026,0.9302325581395349,0.38953488372093026,1.0,1.075,1.0,0.02717685235262307,inf,0.11428571428571441,0.41875,1.0,0.709375
COMP:libvirt_driver,EVT:E25,0.38953488372093026,0.9069767441860465,0.38953488372093026,1.0,1.1025641025641026,1.0,0.036235803136830724,inf,0.1523809523809524,0.4294871794871795,1.0,0.7147435897435898
EVT:E27,COMP:libvirt_imagecache,0.47674418604651164,0.6511627906976745,0.47674418604651164,1.0,1.5357142857142856,1.0,0.1663061114115738,inf,0.6666666666666665,0.7321428571428571,1.0,0.8660714285714286
COMP:libvirt_imagecache,EVT:E27,0.6511627906976745,0.47674418604651164,0.47674418604651164,0.7321428571428571,1.5357142857142856,1.0,0.1663061114115738,1.9534883720930232,1.0,0.7321428571428571,0.4880952380952379,0.8660714285714286
COMP:libvirt_imagecache,EVT:E34,0.6511627906976745,0.47674418604651164,0.47674418604651164,0.7321428571428571,1.5357142857142856,1.0,0.1663061114115738,1.9534883720930232,1.0,0.7321428571428571,0.4880952380952379,0.8660714285714286
EVT:E34,COMP:libvirt_imagecache,0.47674418604651164,0.6511627906976745,0.47674418604651164,1.0,1.5357142857142856,1.0,0.1663061114115738,inf,0.6666666666666665,0.7321428571428571,1.0,0.8660714285714286
EVT:E35,COMP:libvirt_imagecache,0.47674418604651164,0.6511627906976745,0.47674418604651164,1.0,1.5357142857142856,1.0,0.1663061114115738,inf,0.6666666666666665,0.7321428571428571,1.0,0.8660714285714286
COMP:libvirt_imagecache,EVT:E35,0.6511627906976745,0.47674418604651164,0.47674418604651164,0.7321428571428571,1.5357142857142856,1.0,0.1663061114115738,1.9534883720930232,1.0,0.7321428571428571,0.4880952380952379,0.8660714285714286
COMP:wsgi_server,EVT:E25,0.9302325581395349,0.9069767441860465,0.9069767441860465,0.975,1.075,1.0,0.06327744726879392,3.7209302325581386,0.9999999999999996,0.975,0.73125,0.9875
EVT:E25,COMP:wsgi_server,0.9069767441860465,0.9302325581395349,0.9069767441860465,1.0,1.075,1.0,0.06327744726879392,inf,0.7499999999999993,0.975,1.0,0.9875
EVT:E26,COMP:wsgi_server,0.37209302325581395,0.9302325581395349,0.37209302325581395,1.0,1.075,1.0,0.025959978366684677,inf,0.11111111111111104,0.39999999999999997,1.0,0.7
EVT:E27,COMP:wsgi_server,0.47674418604651164,0.9302325581395349,0.47674418604651164,1.0,1.075,1.0,0.03326122228231476,inf,0.1333333333333333,0.5125,1.0,0.75625
COMP:wsgi_server,EVT:E27,0.9302325581395349,0.47674418604651164,0.47674418604651164,0.5125,1.075,1.0,0.03326122228231476,1.073345259391771,0.9999999999999998,0.5125,0.06833333333333322,0.75625
COMP:wsgi_server,EVT:E34,0.9302325581395349,0.47674418604651164,0.47674418604651164,0.5125,1.075,1.0,0.03326122228231476,1.073345259391771,0.9999999999999998,0.5125,0.06833333333333322,0.75625
EVT:E34,COMP:wsgi_server,0.47674418604651164,0.9302325581395349,0.47674418604651164,1.0,1.075,1.0,0.03326122228231476,inf,0.1333333333333333,0.5125,1.0,0.75625
EVT:E35,COMP:wsgi_server,0.47674418604651164,0.9302325581395349,0.47674418604651164,1.0,1.075,1.0,0.03326122228231476,inf,0.1333333333333333,0.5125,1.0,0.75625
COMP:wsgi_server,EVT:E35,0.9302325581395349,0.47674418604651164,0.47674418604651164,0.5125,1.075,1.0,0.03326122228231476,1.073345259391771,0.9999999999999998,0.5125,0.06833333333333322,0.75625
EVT:E27,EVT:E25,0.47674418604651164,0.9069767441860465,0.47674418604651164,1.0,1.1025641025641026,1.0,0.04434829637641974,inf,0.17777777777777795,0.5256410256410257,1.0,0.7628205128205128
EVT:E25,EVT:E27,0.9069767441860465,0.47674418604651164,0.47674418604651164,0.5256410256410257,1.1025641025641026,1.0,0.04434829637641974,1.1030798240100568,1.0000000000000007,0.5256410256410257,0.09344729344729345,0.7628205128205128
EVT:E25,EVT:E34,0.9069767441860465,0.47674418604651164,0.47674418604651164,0.5256410256410257,1.1025641025641026,1.0,0.04434829637641974,1.1030798240100568,1.0000000000000007,0.5256410256410257,0.09344729344729345,0.7628205128205128
EVT:E34,EVT:E25,0.47674418604651164,0.9069767441860465,0.47674418604651164,1.0,1.1025641025641026,1.0,0.04434829637641974,inf,0.17777777777777795,0.5256410256410257,1.0,0.7628205128205128
EVT:E35,EVT:E25,0.47674418604651164,0.9069767441860465,0.47674418604651164,1.0,1.1025641025641026,1.0,0.04434829637641974,inf,0.17777777777777795,0.5256410256410257,1.0,0.7628205128205128
EVT:E25,EVT:E35,0.9069767441860465,0.47674418604651164,0.47674418604651164,0.5256410256410257,1.1025641025641026,1.0,0.04434829637641974,1.1030798240100568,1.0000000000000007,0.5256410256410257,0.09344729344729345,0.7628205128205128
EVT:E27,EVT:E34,0.47674418604651164,0.47674418604651164,0.47674418604651164,1.0,2.097560975609756,1.0,0.24945916711736074,inf,0.9999999999999999,1.0,1.0,1.0
