support,itemsets
1.0,COMP:compute_claims
1.0,COMP:compute_manager
0.8333333333333334,COMP:compute_resource_tracker
1.0,COMP:compute_server_external_events
1.0,COMP:libvirt_driver
1.0,COMP:libvirt_imagecache
0.9444444444444444,COMP:openstack_wsgi
0.3888888888888889,COMP:scheduler_host_manager
1.0,COMP:wsgi_server
1.0,EVT:E1
1.0,EVT:E10
1.0,EVT:E11
1.0,EVT:E12
0.9444444444444444,EVT:E13
0.9444444444444444,EVT:E14
1.0,EVT:E15
1.0,EVT:E16
1.0,EVT:E17
1.0,EVT:E18
1.0,EVT:E19
1.0,EVT:E2
1.0,EVT:E20
1.0,EVT:E21
1.0,EVT:E22
1.0,EVT:E23
1.0,EVT:E24
1.0,EVT:E25
1.0,EVT:E26
1.0,EVT:E27
0.8333333333333334,EVT:E28
0.4444444444444444,EVT:E29
1.0,EVT:E3
0.8333333333333334,EVT:E30
1.0,EVT:E31
0.8333333333333334,EVT:E32
0.9444444444444444,EVT:E33
1.0,EVT:E34
1.0,EVT:E35
1.0,EVT:E36
1.0,EVT:E37
0.9444444444444444,EVT:E4
0.2777777777777778,EVT:E40
0.8333333333333334,EVT:E41
1.0,EVT:E42
0.9444444444444444,EVT:E5
1.0,EVT:E6
1.0,EVT:E7
1.0,EVT:E8
1.0,EVT:E9
1.0,FLAG:FAILURE
1.0,HOUR:00
1.0,KW:build
1.0,KW:delete
0.9444444444444444,KW:exception
1.0,KW:spawn
1.0,LEVEL:INFO
1.0,LEVEL:WARNING
1.0,COMP:compute_claims|COMP:compute_manager
0.8333333333333334,COMP:compute_claims|COMP:compute_resource_tracker
1.0,COMP:compute_claims|COMP:compute_server_external_events
1.0,COMP:compute_claims|COMP:libvirt_driver
1.0,COMP:compute_claims|COMP:libvirt_imagecache
0.9444444444444444,COMP:compute_claims|COMP:openstack_wsgi
0.3888888888888889,COMP:compute_claims|COMP:scheduler_host_manager
1.0,COMP:compute_claims|COMP:wsgi_server
1.0,COMP:compute_claims|EVT:E1
1.0,COMP:compute_claims|EVT:E10
1.0,COMP:compute_claims|EVT:E11
1.0,COMP:compute_claims|EVT:E12
0.9444444444444444,COMP:compute_claims|EVT:E13
0.9444444444444444,COMP:compute_claims|EVT:E14
1.0,COMP:compute_claims|EVT:E15
1.0,COMP:compute_claims|EVT:E16
1.0,COMP:compute_claims|EVT:E17
1.0,COMP:compute_claims|EVT:E18
1.0,COMP:compute_claims|EVT:E19
1.0,COMP:compute_claims|EVT:E2
1.0,COMP:compute_claims|EVT:E20
1.0,COMP:compute_claims|EVT:E21
1.0,COMP:compute_claims|EVT:E22
1.0,COMP:compute_claims|EVT:E23
1.0,COMP:compute_claims|EVT:E24
1.0,COMP:compute_claims|EVT:E25
1.0,COMP:compute_claims|EVT:E26
1.0,COMP:compute_claims|EVT:E27
0.8333333333333334,COMP:compute_claims|EVT:E28
0.4444444444444444,COMP:compute_claims|EVT:E29
1.0,COMP:compute_claims|EVT:E3
0.8333333333333334,COMP:compute_claims|EVT:E30
1.0,COMP:compute_claims|EVT:E31
0.8333333333333334,COMP:compute_claims|EVT:E32
0.9444444444444444,COMP:compute_claims|EVT:E33
1.0,COMP:compute_claims|EVT:E34
1.0,COMP:compute_claims|EVT:E35
1.0,COMP:compute_claims|EVT:E36
1.0,COMP:compute_claims|EVT:E37
0.9444444444444444,COMP:compute_claims|EVT:E4
0.2777777777777778,COMP:compute_claims|EVT:E40
0.8333333333333334,COMP:compute_claims|EVT:E41
1.0,COMP:compute_claims|EVT:E42
0.9444444444444444,COMP:compute_claims|EVT:E5
1.0,COMP:compute_claims|EVT:E6
