support,itemsets
1.0,LEVEL:INFO
1.0,HOUR:00
0.9523809523809523,COMP:wsgi_server
0.9047619047619048,EVT:E25
0.5476190476190477,COMP:compute_manager
0.5238095238095238,KW:spawn
0.5238095238095238,EVT:E8
0.5238095238095238,EVT:E7
0.5238095238095238,KW:build
0.5238095238095238,KW:delete
0.5238095238095238,EVT:E20
0.5238095238095238,EVT:E22
0.5238095238095238,EVT:E21
0.5238095238095238,EVT:E11
0.5238095238095238,EVT:E12
0.5238095238095238,EVT:E15
0.5238095238095238,EVT:E24
0.5238095238095238,EVT:E9
0.5238095238095238,COMP:libvirt_driver
0.5,EVT:E23
0.5,EVT:E5
0.5,EVT:E4
0.5,EVT:E13
0.5,EVT:E14
0.5,EVT:E3
0.5,EVT:E6
0.5,EVT:E18
0.5,EVT:E2
0.5,EVT:E16
0.5,EVT:E17
0.5,EVT:E19
0.5,EVT:E10
0.5,EVT:E1
0.5,COMP:compute_claims
1.0,HOUR:00|LEVEL:INFO
0.9523809523809523,COMP:wsgi_server|HOUR:00
0.9523809523809523,COMP:wsgi_server|LEVEL:INFO
0.9047619047619048,COMP:wsgi_server|EVT:E25
0.9047619047619048,EVT:E25|HOUR:00
0.9047619047619048,EVT:E25|LEVEL:INFO
0.5476190476190477,COMP:compute_manager|HOUR:00
0.5476190476190477,COMP:compute_manager|LEVEL:INFO
0.5238095238095238,COMP:compute_manager|COMP:wsgi_server
0.5,COMP:compute_manager|EVT:E25
0.5238095238095238,COMP:compute_manager|KW:spawn
0.5238095238095238,COMP:wsgi_server|KW:spawn
0.5238095238095238,HOUR:00|KW:spawn
0.5238095238095238,KW:spawn|LEVEL:INFO
0.5,EVT:E25|KW:spawn
0.5238095238095238,EVT:E8|KW:spawn
0.5238095238095238,COMP:compute_manager|EVT:E8
0.5238095238095238,COMP:wsgi_server|EVT:E8
0.5238095238095238,EVT:E8|HOUR:00
0.5238095238095238,EVT:E8|LEVEL:INFO
0.5,EVT:E25|EVT:E8
0.5238095238095238,EVT:E7|EVT:E8
0.5238095238095238,EVT:E7|KW:spawn
0.5238095238095238,COMP:compute_manager|EVT:E7
0.5238095238095238,COMP:wsgi_server|EVT:E7
0.5238095238095238,EVT:E7|HOUR:00
0.5238095238095238,EVT:E7|LEVEL:INFO
0.5,EVT:E25|EVT:E7
0.5238095238095238,EVT:E7|KW:build
0.5238095238095238,EVT:E8|KW:build
0.5238095238095238,KW:build|KW:spawn
0.5238095238095238,COMP:compute_manager|KW:build
0.5238095238095238,COMP:wsgi_server|KW:build
0.5238095238095238,HOUR:00|KW:build
0.5238095238095238,KW:build|LEVEL:INFO
0.5,EVT:E25|KW:build
0.5238095238095238,KW:build|KW:delete
0.5238095238095238,EVT:E7|KW:delete
0.5238095238095238,EVT:E8|KW:delete
0.5238095238095238,KW:delete|KW:spawn
0.5238095238095238,COMP:compute_manager|KW:delete
0.5238095238095238,COMP:wsgi_server|KW:delete
0.5238095238095238,HOUR:00|KW:delete
0.5238095238095238,KW:delete|LEVEL:INFO
0.5,EVT:E25|KW:delete
0.5238095238095238,EVT:E20|KW:delete
0.5238095238095238,EVT:E20|KW:build
0.5238095238095238,EVT:E20|EVT:E7
0.5238095238095238,EVT:E20|EVT:E8
0.5238095238095238,EVT:E20|KW:spawn
0.5238095238095238,COMP:compute_manager|EVT:E20
0.5238095238095238,COMP:wsgi_server|EVT:E20
0.5238095238095238,EVT:E20|HOUR:00
0.5238095238095238,EVT:E20|LEVEL:INFO
0.5,EVT:E20|EVT:E25
0.5238095238095238,EVT:E20|EVT:E22
0.5238095238095238,EVT:E22|KW:delete
0.5238095238095238,EVT:E22|KW:build
0.5238095238095238,EVT:E22|EVT:E7
0.5238095238095238,EVT:E22|EVT:E8
0.5238095238095238,EVT:E22|KW:spawn
0.5238095238095238,COMP:compute_manager|EVT:E22
0.5238095238095238,COMP:wsgi_server|EVT:E22
0.5238095238095238,EVT:E22|HOUR:00
0.5238095238095238,EVT:E22|LEVEL:INFO
0.5,EVT:E22|EVT:E25
0.5238095238095238,EVT:E21|EVT:E22
0.5238095238095238,EVT:E20|EVT:E21
0.5238095238095238,EVT:E21|KW:delete
0.5238095238095238,EVT:E21|KW:build
0.5238095238095238,EVT:E21|EVT:E7
0.5238095238095238,EVT:E21|EVT:E8
0.5238095238095238,EVT:E21|KW:spawn
0.5238095238095238,COMP:compute_manager|EVT:E21
0.5238095238095238,COMP:wsgi_server|EVT:E21
0.5238095238095238,EVT:E21|HOUR:00
